,영화댓글
396,평점 테러범들은 약소국의 트라우마를 겪는 분들인가?나는 샹치라는 캐릭터와 양조위 연기에 충분한 매력을 느꼈는데 말야..
397,용이아니라 욕이나옴
398,짱께는 믿거다
399,그냥 이유없이 엄청 재밌음
400,영사미가 예뻣다
401,좋은 작품입니다. 마블의 새시대를 열기에 좋은 것 같아요. 우려보다는 참신한 것 같습니다. 다만 양조위가 더 안 나올  것 같아 아쉽네요.
402,생각했었던 것보다 넘 별로
403,개노잼임 알바 많이풀었나.. 디즈니라 믿고봤는데 걍 개실망함
404,액션이 그냥
405,"쿵푸팬더 때부터 느낀 거지만 이젠 할리우드가 중국보다 무협을 잘 이해하고 잘 만든다. * 혹시 영화가 중국 뽕이나 역사왜곡, 동북공정이 들어간 영화일까봐 걱정하는 분들께 말하자면 그런것과 거리가 멉니다.  애초애 영화 내/외적으로 중국정부가 싫어할 만한 내용이 많아 중국에서 상영금지 되었습니다."
406,이게 마블이냐 ? 그냥 중국영화임 드럽게 재미없네  집에서 돈내고 보는걸 추천??
407,연출하고 영상미는 좋았는데 스토리는 좀 중구난방했어요... 갑자기 죽이며 싸우던 이들이 너무 빠르게 손잡고.. 양조위님 연기는 일품이었습니다~
408,중국풍이 넘 강해서 생각만큼 재밌진 않음 그냥 마블이라서 봄
409,2회차 보러갑니다. 아쉬운부분도 분명있지만 액션과 양조위 하나만으로 커버가능. 쿠키영상 아주 설렘..
410,심형래가 못다이룬 꿈을 케빈 파이기가 해냈다 한국에서 돈벌어 짱개영화를 만들다니아주 실망이야
411,후 양조위 반깐 사랑해 진짜
412,마블보다가 잠든건 처음
413,주인공보다 주인공 아빠가 너무 잘생김용 나올때 너무 중국풍에 소름이 끼쳤음...내가 알던 마블이 아닌거같았음
414,내용완성도가 살짝아쉽고 생각했던것보다 흥미진진한부분도 많았습니다.  7점보다는 8점에 가까운 중국영화!마지막쿠키영상이 더 마블스러웠던 영화!
415,평점보고 설마 싶엇는데 역시나 마블 잼있엇음
416,호불호가 많이 갈리네요 전 '호'였습니다
417,재밌어요나름
418,이게영화냐..진짜 다알바다 보다 나왔음
419,와~~진심 실컷자고 나왔네
420,이거 재밌다는사람  영화볼줄 모르는사람이다 진짜로 마블이 낳은최고의똥
421,아 잘잤따..자고일어나니깐 용이왔다갔따하네요.
422,존잼 샹치 멋져요…..
423,액션빼고는 볼께 없다..
424,아ㅜ 중국영화  한편보고왔다ㅜ CG  개쩔었다ㅋㅋ
425,오랜만에 영화같은 영화를 봤어요~
426,중국 8 마블 2 중국에서 만들었는데 마블이 조금 손가락만 담갔다가 뺀느낌??도중에 보다가 자다깸
427,알레르기만 없다면 빨간맛도 맛있게 소화 가능.
428,다시 시작하는 마블 페이지2. 시작은 무난한듯하다.양동근 생각이 많이 나는 영화였다.떡밥들 때문이 두통이 날 지경이다.다음 10년도 잘 부탁합니다. 마블!!
429,난 재밌었는데  무조건 중국이 들어가면 욕하는 것들 한심함. 중국 상영금지라던데 이게 자본을 노린 수 맞냐? 마션처럼 중국뽕 맞은 영화가 아니잖음;;
430,평점테러 난리났네 보지도 않고 까는놈들 많구나 마블이 그냥 상업영화 답게 잘 뽑았더구만 이정도면 괜찮은편인데 명예 마블세계관 시민들 난리났네
431,스토리가 끔직했어요 90년대 중국영화 수준의 스토리와 연출다만 액션씬은 좋았어요 팔찌를 이용한 액션은 이렇구나 싶을정도
432,영화에서 짱깨냄새난다
433,너무 유치한감이 있었다 기존마블과 다르게 중국느낌도 굉장히 많이나서 낯설었다
434,짱 깨 쌔 끼 야 너거 작품에 1도 관심없다.마블 영화 출연 자격도 없는것이다.그냥 너거 같은것은 내용 해석도 안되는 짝 퉁 어벤져스 같은 또 라 이 작품 제작해라 아니 생각하면 화나네 니들이 문!!자격으로 어 벤 져 스 이름 쳐 쓰노!!어!!
435,고생길에환영한다.. 샹치는 고생길 시무리우는 대기업취칙 샹치 (시무리우) 대기업(마블)에 취직한걸 축하드립니다.
436,중국 스토리는 이해하는데 그걸 끝까지 물고 넘어가는순간 스토리자체가 지겨움;; 액션신은 볼만하나 어느순간 마지막 괴물 나오는순간 정말 중국영화가됨.. 거기서부터 졸았음 ㅡㅡ;
437,마블영화라 기대했는데 이건 그냥 중국영화네요....
438,기대안하고 봤는데 역시 마블영화는 실망시키지 않네요.너무 재미있게 봤습니다. 그리고 양조위 너무 멋있어서 한표!
439,재밌으니 꼭 보시길 특히 ost가 좋음
440,노잼 걍 시진핑 노예 중궈영화 ^^   보다가 눈 찌뿌려져서 걍 잤음 ㅋㅋ 마블도 이젠 망했다~~~~made in chinaaaa ~
441,마블이 워낙 세계관이 넓고 방대해서 페이즈4의 첫 시작을 어떻게 풀어나갈까 하는 궁금증이 있었는데 영화로 잘 표현된듯 CG도 대박이고 보는 내내 눈이 즐거웠던 시간이였다 마블영화는 보고나면 여운이 남는데 이번 샹치는 특히 더 그랬던 것 같음 다음달에 나오는 베놈도 너무 기대된다!!!
442,
443,개인마다 보는 관점은 다를 수 있지만 억까가 심하네요
444,화려한 액션 뒤에 감춰진 빈약한 서사
445,초반버스신처럼 미국배경속에서 풀어나갔으면 좋을텐데 중반부터 너무 중국판타지무협 느낌에다가 끝에 용부터는 아예 뇌절..
446,마블영화중 정말 역대급 최악의 영화 개연성도 없고 어설픈 cg(용나오는거에서 어후..)아버지는 뜬금없이 죽고 최악
447,간만에 보고 나와서 다시 또 볼까 생각난 영화..드라마로 주인공과 주변인의 서사가 더 있어도 좋을것 같고 쿠키에서 또 다른 마블 영화에 나올것 같았는데 진짜 꼭 나왔음 좋겠다^^
448,다소 아쉬운 부분이 있었지만 재밌게 잘 봤네요
449,"눈뽕, 귀뽕 영화"
450,그냥 안봣어야햇다..
451,"마블도 맛이 갔다. 연결고리 뭐하나 없을듯, 샹치 비중 축소가 눈에 훤하다. 그리고 중국 상영 금지? 해도 별 문제 없는데 걍 양조위 싫어 빼애애액 유지한 중국 정부 수준 ㅋㅋㅋ 덕분에 졸작에 돈 안 버려서 오히려 이득이네 부럽노"
452,"호불호가 많이 갈리네요... 전 재밌게 봤습니다. 배경이 중국일뿐이지 중화사상이 들어간 영화도 아니고, 마블의 동양풍 느낌정도"
453,90년대 중국영화느낌
454,역시~ 마블은 마블이다
455,"제대로 된 무협영화다. 최근 중국, 동양 다른 국가의 영화와 비교했을 때 몇 단계 우위에 설 정도로 액션, 서사 등 많은 점이 뛰어났다. 무로써 협을 실행한다는 설정을 잘 실행했으며 앞선 블위와 달리 가족애에 대해 잘 표현했다. 아쉬운 것은 이 영화는 단독 영화가 아니라 앞으로 나올 다른 mcu영화와 연관이 있다는 것이다. 4페이즈부터 세계관은 확장하는 데 각각의 소재들이 잘 버무려 지지 않는 다는 것이다. 1000년동안 권력을 위해 수많은 사람들을 죽이고 전쟁을 벌여왔는데 중국의 작은 지역 하나를 차지하고 있고, 이용한 무기는 샹치 때문에 이제서야 정체가 드러난다? 다른 아쉬운 부분은 트레보와 케이티 특히 케이티는 분량은 많지만 굳이 나왔어야 했을까? 차후에 더 많은 활약을 할 수 있겠지만 그가 샹치의 여정에 끼여드는 부분은 너무 억지스러운 면이 있다. 전체적으론 재미있게 잘 봤다. 중국자본이나 문화 올려치기라는 의견도 있지만 무협영화는 예전부터 인기있는 장르였고 마블 역시 많은 캐릭이 존재했으니 이런 영화가 나온 것을 꼭 부정적으로 볼 순 없다 생각한다. 영화 본 분들은 알겠지만 시무 리우보다는 양조위!!! 진짜 연기 대박이네. 장멍얼 섹시함."
456,개연성 갖다 버린 거 같고 액션씬 두 번 정도 좋았던 거 같음
457,양조위 웬우 보고싶어서 또 봐야 겟다
458,액션 개쩐다 ㅠㅠ 재미씁니다 밤새고 영화보러가서 졸까봐 걱정했는데 잠이고뭐고 집중해서 그냥 시간 순삭이네여
459,중뽕으로 풀 무장한 영화 현재(서구권)을 악으로 부터 지키는 건 중국이고. 악은 서양 용이고. 동양 용은 중국인이랑 힙합쳐서 악을 막으며 살아감 ㅋㅋㅋㅋ
460,무한도전 최코디 마블단독주연 !
461,마블팬으로서 중국 이런거 다 제외시키고 그냥 역시 마블은 마블이라는 생각이 들었고 정말 재밋게 잘 봤는데 관람객 평점이 왜 이러죠 .. ㅜㅜ 영화가 아무리 상업의 목적이라해도 정말 힐링 그대로입니다 .. 판타지물을 좋아하는 저로써는 여전히 재밋는 마블
462,짱개 in 마블 주인공 시진핑
463,액션은 볼만함...근데 보다가 졸음 뻔한 스토리...
464,마블영화보면서 잠잔건 처음. 완전중국풍
465,마블 아니었으면 안봤을 영화
466,아콰피나는 한국계 혼혈 배우에 양조위는 중국인 아니고 예로부터 유구하게 공개적으로 홍콩의 민주화운동을 지지하다가 보이콧당했고 양자경은 중국인 아니고 중공과 유착관계인 미얀마 군부를 비판하며 민주화운동을 지지표명했습니다 중국니니 뭐니 무작정 욕하는 것도 그만 좀..~ 중국에서는 이 영화 상영 하지도 못해요
467,재미는 확연히 있었으나코시국 반중 감정 + 사회적 눈치보기까지 감안해딱 7점짜리 영화 ㅋㅋ화려한 액션 가슴이 뜨거워지는 느낌이 있었으나개중 무협영화 같은 씬에서 마냥 환호하기에는 괜시리 주변 눈치보게되는
468,양조위 양조위 양조위 양조위
469,중국은 믿고 거르는게 맞지요~
470,솔직히 말하면 재밌다.
471,마블도 중국스탈은 극복하지 못하네 ㅜ
472,아니..중국 인이 주인공이고 중국문화 중국무술이 주된 배경이 되는 스토리 인데 뭔 중국풍 이니 made in cihna 거리면서 까노 ㅂㅅ들이 ㅋㅋ한국인이 주인공 마블 영화 나와도 그 ㅈㄹ떨래?? ㅂㅅ들 머리가 나쁘면 영화를 보질 말던가
473,역시 마블은 배신하지 않는다
474,분명 아쉬운 부분도 있긴했으나 그냥 딱 마블영화입니다. 볼만해요.갠적으론 무협격투 액션 부분이 좀 더 많았으면 좋았을 것 같네요.다른 캐릭터들 1편 영화 보다는 한수 위 입니다.앞으로가 기대됩니다.
475,텐링즈를 이용한 액션 하나는 쾌감지수 만점
476,무협 좋아합니다요런 장르 선호 ㅋ볼거리가 가득한 영화
477,영화보다 처음으로 잤어요.. 마블꺼라 봤는데 이건 뭐 영웅물도 아니고 그냥 중국 무협영화같음.. ㅠㅠ 영화보면서 좋았던건 노래뿐이었고요.. 용 나오는 순간부터 진짜 100% 중국영화느낌. 사실 무협영화를 싫어하는 편도 아니었지만 마블에서 나온거라 봤는데 속은느낌이랄까요? 그냥 돈아까웠어요 전
478,양조위가 울아빠였으면... 넘나 스윗 로맨틱함 물론 액션도 말모말모~ 텐링즈 무기도 신박하다 마치 터키아이스크림... 잡아야지~? 못잡겟지~? 과연 샹치는 텐링즈를 잡았을까요? 고거슨 극장에서 확인하시라!
479,용이랑 괴물이 싸우는 장면에서 b급 중국영화 느낌이 나서 아쉬웠음
480,초반부터 중반까지 휘몰아치는 액션이 대박임 이래저래 다 재밌는건 아니였지만 그래도 전반적으로 재밌게 봤음
481,평점 낮아서 당황...ㅎ 너무 재밌게 봄 ㅎㅎㅎ 양조위 멋있어 !!
482,착짱죽짱 짱깨욕 존나 해대면서 짱깨영화 빨아주는 국민성 클라스 야이 개돼지들아 한가지만 해라 욕하려면 철저하게 불매하고 불매 못할 것 같으면 애초에 욕하지를 말아 니네나 짱깨나 똑같이 역겨움
483,용이 나오는 순간 내 눈을 의심했지만..그래도 액션이 볼만했다.
484,어설픈 와호장룡 훙내내기+디워+기도라
485,짱개냄새 너무역함 양조위만 나왔으면...
486,킬링타임용 그 이상 그 이하도 아님. 중국자본이라 한국뿐만 아니라 전세계적으로 명작이라고 홍보에 여념이 없다.  중국 우상만드는 금강 뭐시기 영화도 나온다더니... 영화계도 중국몽에 빠져그나
487,코로나 터지고 간만에 잼있는 영화 봤네요~
488,반중정서 때문에 까이지만 사실 홍콩영화
489,마블 영화 기대 하지마라그냥 중국 무협 영화다앵앵거리믄서 주먹날린다어벤져스 그립다
490,의무감에 보긴했지만 막판에는 히어로영환지 괴수영환지 아리까리하더라구요
491,마블이 마블했다 크으으으으
492,여윽시마아브을기모링
493,불편한거 1도없었고 한국계 혼혈 아콰피나님 감초연기랑 만다린이 재미졌음 시무리우랑 장멍 액션도 좋았고 양조위... 진짜 양조위 개미침ㅜ 앞으로 이 아시아계 첫 어벤져의 활약이 더 기대됨!!
494,영화관서 자다가 깨서 또 자긴  처음.. ㅠ
495,중뽕거르고 재밌음 애초에 중국개봉불가인데 시러하는 이유를 모르겠네
496,양조위랑 주인공엄마랑 싸우는 첫 전투씬보자마자 나가고싶었습니다.. 양조위한테 왜 최코디얼굴이나왔는지도 이해가안가고;
497,
498,양조위라는 배우의 카리스마와 매력에 밀려서 주연 배우들은 아무런 매력이 느껴지지 않음. 양조위를 제외하고 매우 평면적인 캐릭터들과 일관성 없는 스토리라인. 억지로 쑤셔넣은 페미니즘 서사까지 캡틴 마블 급으로 별로였음
499,중간에 졸음 양조위 나오고 마블이면 보는거다
500,지금까지 본 마블영화 중 제일 재미없다
501,중국나온다고 생각없이 별점테러하는데 부끄러운줄 알아야지 중화사상들어있는것도 아니고 제작진들도 중국에 반감가져서 나온 사람들인데 그냥 광신도마냥 중국이라고 까기만 하니..  남자평점은 테러때문에 거르시고 여자평점이 진짜 평점이라고 보시면 되겠습니다
502,"정치색 빼고 간단하게 솔직한 평가 해보면 액션 윈솔 이상, CG도 괜찮았음. 공산당 찬양같은 이상한 것도 없었고. 다만, 문제는 최종보스가 하도 갑자기 튀어나왔다가 갑자기 죽어버린 게 문제였었지, 외적으로는 아직까진 이상한 사건도 없었고. 뮬란급으로 걱정할 작품은 아님. 그리고 개인적으로 양조위가 연기한 웬우가 타노스 이후 역대급 빌런이긴 함."
503,좀전에 보고나왔는데 재밌습니다ㅎ 역시 마블
504,이거 마블 영화 아님 중국 영화 엽문임 ㅇㅈ?
505,최악이네요 ㅋㅋㅋㅋ 정말 재미 없억!!!!
506,옛날 무협영화에 대한 오마쥬인데 그냥 중국나온다고 별점테러ㅋㅋ 할말이없음
507,영화가 좋았습니다!!
508,마블 로고랑 양조위 없었으면 OO도 흥행 못했을 망작
509,Amazing movie.
510,착한 짱꾸어들은 이미 텐안민때 다 죽어부려서 바퀴벌레만 나왔네 ㅋㅋ
511,마블에 처음으로 실망한 영화
512,"로튼토마토, IMDB에선 마블 영화 탑 3안에 들 정도로 호평받는 중이고, 해외에서 극찬 일색인데.. 우리나라선 고작 중국문화 다뤘다고 평점 깎이는 건가 ㅋㅋㅋ 여기 나온 배우분들 다 홍콩 사태에 홍콩 지지했고, 이 영화 중국에선 아예 상영금지 처분 받았어요 ㅋㅋ 중국이랑 아무 관련 없는 영화입니다."
513,개연성 진짜...마블 답지 않은..다만 양조위는 갓조위!!
514,"홍콩 영화계가 망했더니 헐리우드에서 진짜 홍콩 액션 영화이 귀환했다.김씨네 편의점 정 킴이 몸만 좋은 게 아니라 쌈박질도 잘하는 게 인상 깊고, 여주인공도 개그가 나름 충만한 게 매력이 있다.하지만 뭐니뭐니 해도 양조위.스포 안하고 양조위의 매력을 설명하기란 너무 힘들지만 나이 59살에 저렇게 까지 멋있어도 되나 싶다."
515,용만 안나왔어도 8점. 액션신 호쾌하고 좋은데 용은 대체 뭐냐 ㅋㅋ
516,마블이 마블했다! 그 동안의 마블 시대를 넘어 새로운 시대를 맞이하는 최고의 작품! 마지막 탈로 액션씬은 말해 뭐해~!! 그리고 마블은 양조위 버전으로 프리퀄 낼 생각 없으세요?
517,"용나오는 CG부분에서 퀄리티가 다소 부실하다고 느낌..중국 특유의 무협 느낌이 나서 개인적으로는 마블의 기대치에 못미치는거 같음. 13,000원으로 시력나빠지고 오는중^^"
518,영화는 개노잼인데 양조위가 ㅈㄴ 멋있음.. 저런 빌런이 있다니
519,나는 마블영화를 보러갔지 무협영화를 보러간게 아니다
520,정말 남녀 주인공 주연이 이렇게 존재감 없고 매력없을수도 있구나 싶음양조위 혼자 99%하고 나머지 캐릭들이 1% 양조위빼고 모든 주연배우와 조연 엑스트라들이 매력없음샹치와 텐링즈의 전설이 아닌 양조위와 텐링즈의 전설이 맞음정말 영화에 중국과 페미를 섞으면 이OO 난다는걸 보여줌극장에서 보는건 비추 마블 유니버스 때문에 보긴 해야 하는데 극장가는 시간과 돈이 아까움 특히 여동생 캐릭은 능력이 있지만 여자라 못하던걸 자기 힘으로 해냈다 하며 페미도 한수푼 넣는데요새 마블도 자꾸 이 노선으로 가서 짜증남
521,탄탄한 스토리! 희대의 명작! 꼭 보세요! 나만 당할순 없지
522,샹치동생 귀엽게 생겻네
523,진짜 재미없음 중국자본들어간 노잼
524,마블이 디워를 만들면 이런 느낌인걸까..양조위 양자강이 늙어서 아쉬울따름..
525,절망적. 앞으로의 마블의 행보가 우려됨.
526,유쾌하고 멋진액션 영화
527,액션은 진짜 윈터솔져 이후로 처음으로 격투기 액션으로 감동먹었다 싶을 만큼 좋았는데 그렇다고 영화 자체가 재미있지는 않았던 것 같다.제일 나빴던 건 샹치 캐릭터였는데 오히려 히어로물이 아니라고 생각하고 보면 더 재미있게 볼 수 있었을 것 같다 싶을 정도로 샹치라는 히어로의 매력이 너무 없다.어벤져스 1 전후에 나온 페이즈 1 캐릭터들이 개성 하나만큼은 확실하게 보유하고 있었다는 걸 생각하면 너무 아쉬운 점이다.
528,초반 액션이 너무 좋아서 마지막 액션이 아쉬웠다.
529,기대안하구 봤는데 재밌게 잘 봤네용
530,"중국 히어로다보니 중국에 대한 내용이 주라서 아쉬웠지만 그 외에 액션씬, 연기력, 연출을 마블다웠고 보는 재미가 있었다."
531,역시 액션이 장난아니고 볼만했어.
532,솔직히 중간까지(마카오씬)는 괜찮았다. 하지만.. 탈로마을 갈때부터 중국물 엄청 먹어서 거부감 들었음… 그냥 중국 무협 B급영화임..
533,아무생각 없이 볼 수 있는 오락영화 ㅋㅋ 재밌어여
534,샹치가 어벤져스 합류 후 이 영화가 나왔더라면 이렇게까지 이질감이 들진 않았을것같은데 보는 내내 마블이 왜?라는 의문이 들었음
535,마지막 부분은 쫌…ㅋㅋㅋㅋ
536,"진짜 전형적인 중국 판타지 무협 영화..개인차가 있겠지만 나는 보면서 중간에 졸았음..액션은 나름 괜찮은데 스토리는 유치하고 별로였음.. 너무 화가나고 믿었던 마블에 처음으로 배신감느낀 작품임..리뷰 진짜 잘 안남기는데 시간낭비, 돈낭비한거같음"
537,마지막은 디워인줄..
538,기존의 마블느낌과는 조금 다르게 어드벤처 느낌이에요. 놀이동산 다녀온 듯한... 그래도 꽤 재밌었습니다. 교훈도 있구요!
539,"웬우와 텐 링즈의 전설.드래곤볼 용이 나오고 나선환을 씀텐링즈와 데어데블에 나오는 핸즈랑 구성원들의 복장이나 무기, 액션 등의 묘사 비슷함.웬우가 왜 빌런이 될 수 밖에 없었는지에 대한 묘사나 연기 훌륭함. 아주 매력적인 빌런인 반면 샹치와 사이드킥들은 별로였음.ost는 아주 좋음"
540,판타지 무협 영화 좋아해서 재밌게 봤어요
541,알바 어마어마하게 풀었냐. 아니면  관련업자들 가족 아이디까지 동원했냐
542,"마블 영화중에 최악, 마블이라기보단 잘 만든 주성치영화느낌"
543,재미있었어요 감동이고
544,"주인공이 못생김. 좀 떨어져주면 좋겠는데 얼빡샷 박아대니 짜증남.주인공 아빠 때문에 버텼음. 주인공 엄마랑 로맨스 샷에서 염색으로 땜빵할때는 오우.. 나이차 그림이 좀 부담스럽네? 싶었는데 볼 수록 그 부분이 제일 좋음. 액션도 하는 사람들이 우아하니 보기 좋았고. 아빠가 링으로 액션 찍을때는 이게 마블이지! 싶었음. 나머지는 뭐. 중국산 무술 영화? 그런 느낌. 계속 싸우기만 하고. 싸울때 퀄리티는 좋은데 묘한 유치함... 주인공 여동생, 여친도 메인 조연으로 나오지만 그 캐릭터의 특색을 살린 활약이 아니라 걍 주인공이 해도 상관 없을 일을 억지 분배한  느낌임. 그리고 계속 싸우기만 하고 딱히 딴 걸 안하니까 캐릭터성이 얄팍함. 잘 만든 캐릭터는 그 자체로 인물, 캐릭터로서 독립성을 가진다고 봄. 그렇다면 서사의 메인으로서 주인공이 빡시게 캐리하냐? ㄴㄴ.. 스파이더맨도 소시민 히어로지만 걔는 기반이 되는 캐릭터성이 있었음. 학생이고.. 친분 있는 사람도 있고.. 여튼 영화에 안 나와도 스파이더맨 하면 상상이 가는 부분이 있음. 샹치는 샹치에 나온 다른 조연처럼 설정만 끄적인 느낌임. 딱히 평소에 뭐하고 살지 생각 안됨. 왜냐면 서사를 쌓을 시간이 없음. 스파이더맨은 싸움 중간에 뭔가 관계를 맺고 캐릭터성을 쌓고 굵직한 스토리 라인이 진행되는데 이건 계속 싸우기만 하고 화면 밖에서 인물들이 뭐할지 전혀 기대가 안됨. 주인공 아빠 얘기나 보고 싶음. 영화에 안나온 스토리도 많다는걸 보여줘서 상상도 할 여지가 있음. 여기까지만 쓴다 귀찮"
545,
546,"전성기 시절 홍콩 무술 영화에 마블을 덧입힌 그런 느낌입니다. 마블의 기술력과 중국풍 무술이 더해진.. 지금까지 마블에선 볼 수 없는 새로운 영화였고 마블의 새로운 시도는 확실히 성공한 것 같습니다.스토리 부분에서는 조금 아쉬운 면이 없잖아 있던 것 같네요. 갑자기 뜬금없이 호수에 용은 왜 깨어나는지, 케이씨는 일반인이었는데 왜 갑자기 명궁이 되었는지 등등 이해하기 힘든 내용들이 많았습니다. 그리고 중반부터 중후반까지 갑자기 루즈해집니다. 아무래도 초반부가 너무 빠르다 보니 그에 대한 반동으로 이런 것 같습니다. 또 전개도 뭔가 작위적이었고요. 일단 전 너무 졸렸습니다..."
547,마블영화라는 프레임에 속지마세요~
548,'웬우와 텐 링즈의 전설' 제목 바꿔도문제없을 정도로 양조위 존재감만 느끼게해준 영화보는 내내  주인공은 '웬우' 로 인식될정도로 캐리를 해버림 주인공 배우한테 실례되는 말일수도있지만 본사람은 공감하고 인정할 정도임
549,"중국이라고 무지성 억까하는 애들아ㅋㅋ 이 영화 중국에서 상영금지 당한 건 알고 있냐?ㅋㅋ 주인공 서사가 좀 아쉽긴 했지만 액션, 영상미 모두 마블 역대 최고 수준이었고, 빌런은 마블 역대 세 손가락 안에 들 정도로 좋았다. 충분히 볼만하고 재밌는 영화였는데 뭔 평점이 캡틴 마블 수준으로 나락이야ㅋㅋ 진짜 중국이라고 개거품 물고 개발광하는 이 우파 유튜버 노예들 어쩜 좋냐ㅋㅋ"
550,"화려한 영상미와 대부분의 액션신은 좋았지만중간중간 계속 나오는 중국 특유의 유치 + 억텐 + 중뽕 , 여기에 액션신에서 공중제비 돌며 아이컨텍까지..중국예산 안들어갔다고 해서 봤는데 차이나머니 거하게 들어간듯한 연출쓰,,인물간의 감정선도 최신영화라고 보기엔 너무나 구식이었어요!제 인생 처음으로 최악이었던 영화돈이 아까웠던 첫 영화입니당"
551,끝나고 나서 한 번 더 보고싶은 영화두번째 보면 ost와 함께 더 즐겁게 즐길 것 같다
552,정말 보는 내내 집가고 싶었어요
553,평점보고 걱정 많이 하면서 보러갔습니다마블스러운 느낌이 솔직히 많이 빠졌다고 생각이 들었습니다 외계인도 영어 쓰는 마당에 탈로 사람들은 왜 다 중국말 쓰고 중국인만 있는지는 의문…영어로도 대화는 가능하긴 하지만..액션은 솔직히 그럭저럭 볼만 했어요 누구 말처럼 용이 뭔가 귀엽게도 생기고… 디워도 생각나고… 근데 뭐 엄청 나쁜 전개까지는 아니었고 좀 뜬금 없다는 느낌은 살짝 들었습니다중간에 오역도 한두개 보이고 cg도 텐링이 돌아오는 장면 중 하나만 좀 이상하게 보였는데 전반적으론 괜찮았구요다만 개인적으로 최악이라 느낀 건 홍콩액션식 와이어액션+슬로우모션+뜬금 감정팔이 이상야릇한 표정 이 모든게 합쳐지는 장면을 초반에 보고 정신이 아찔했습니다 이런 장면이 계속 나온다면 버틸 수 없겠다는 생각이 들었지만 일단은 후반까지 총 두 번 나왔고 두번째는 조금 괜찮았네요…기대치가 최악이어서 생각보단 볼만 했습니다 엄청 못만들었다거나 뭐 한국이랑 어쩌고 동북공정 어쩌고 해서 안좋게 보여서 기대치가 낮았는데 그정도는 아니었던 것 같습니다 배우들 캐릭터도 그럭저럭 괜찮았고 연기는 잘하시더라구요그래도 별로같다면 아이언피스트를 보고 오십쇼
554,오늘 보고왔는데 버스액션신이랑 양조위없었으면 말아먹었을듯. 진짜 개연성 1도없고 지루하기만해..
555,양조위와 양자경의 하드캐리
556,오늘 보고 왔는데요 진짜쭝국 스러워서 기대 1도 안했거든요 근데 기대 이이이이상 이였어요 너~~~무 기대를 안하고 봐서 그런가? 인지는 모르겠으나 집중~해서 봤어요 시간가는줄 몰랐네요 재미있었어요 저는 평점 낮은거 보고 놀랐네요 아마 추측이지만 쭝국 얘기 있어서 그런것도 있는거 같아요근데 중국사람한테 영화제작비 투자받은걸까요?궁금하네요
557,그냥 킬링타임용. 스토리약함 ㅠㅠ 그리고 등장인물들이 하아..특히 주인공 친구 여자 너무 집중안되고 유머도 그닥이였음. 차라리 없앴으면 날수도
558,전형적인 중꿔영화 조ㄴ@나 재미없음 ㅋㅋ  아..  난징 대학살 2는 재밌을듯 ? ㅋㅋ
559,중국무술 영화 플러스 디워 짬뽕 마블도 갈때까지 갔네
560,비슷한 영화로 아쿠아맨이 있다. cg에 돈들이는거에 비에 각본에는 점점 돈 안쓰는듯 한 기분이랄까? 중간 중간 이스터에그 마냥 나오는건 괜찮은데 인물에 대한 서사가 좀 부족하지 않나 싶다. 샹치면 샹치가 부각 되어야하는데 그 주변 인물로 집중이 분산되는 기분. 아쿠아맨 보면서 딱 이런 기분느낌
561,진짜 진지하게 이게 재밌다고?? ㅠ마블영화보면서 잔건 처음이였고평점남기는것도 처음이다 역대급이야
562,
563,나름 볼만했습니다!!
564,"액션씬 좋았고, 양조위가 멋있음.후반부 CG 전투씬들은 조금 지루함."
565,여주가 너무 못생김 일단. 예쁜 미국계 중국인도 많은데 왜 저런애를 썼는지 이해가 안됨
566,"조악한 스토리라인에도 불구하고 음악과 액션, CG로 채워 나름 볼만합니다 아이맥스에서 안봤으면 본걸 좀 후회했을지도"
567,세상에 존재하는 클리셰는 다 집어넣은듯ㅋㅋㅋ 액션 많은건 좋은데 싸우다가 왜 죽는거 구경만 하는거에 답답함을 느낌
568,홍콩 무협영화 느낌의 액션이 불호. 오글거림.케이티와의 급 러브라인은 알고싶지도 궁금하지도 않은 사람의 연애사를 본 기분..샹치 캐릭터가 매력이 없음ㅠ하지만 모리스는 귀여웠다.
569,역시 마블이 마블 했네~~
570,초반 너무 의외성이라 몰입 분산됐는데 마무리까지는 불편없이 잘 봄 쿠키 2개임 다 보고 가시길
571,간만의 마블영화인데 역시 마블답다
572,하..내 13000원
573,디워의 스토리 전개에 마블과 오리엔탈리즘 종합세트를 끼얹은 영화
574,링이 열개라 10점 드렸습니다.
575,드래곤 CG는 적당히 쓰지 그랬어...
576,다른부분들은 다 평타치는데 마블영화 싸움씬에서 졸아본거 처음 ㅋㅋ
577,감독이 DC팬인줄 알았음~ 그리고 한국을 평하는데 있어 보기 거북한 부분이 있음강남스타일을 언급하는 장면과 격투기 장면에서 스모선수가 태권도선수를 짖누르는 장면
578,양조위와 텐링즈의 전설
579,재밌다 난 자밌게 봤어 호불호 있긴할듯
580,돈주고 왜보세요 여러뷴들
581,앞에 내용도 줄곧오글거렸지만압권은 수드래곤 나왓을때인듯 앞에 나온 스토리 다까먹음이쯤되면 심형래재평가시급마블식 디워마블영화보고 일케까지 빡칠줄은 몰랏음
582,"양조위로 시작해, 양조위로 끝났다. 중국의 진한 영상미가 마블이 손대어 화려한 예술로 승화시켰다."
583,마블도 짱깨는 못살린다 망할
584,중국영화의 개같은 점을 다 붙여 만든 마블 영화
