조건별분석,,,,,
[검색조건],,,,,
,분류: 지상,,,,
,요소 : 강수량,,,,
,검색구분 : 일,,,,
,지역/지점명 : 목포,,,,
,기간 : 2011 ~ 2021년 01 ~ 12월 01 ~ 31일,,,,
,,,,,
,,,,,
"	165",목포,2012.4.6,,,
"	165",목포,2012.4.7,,,
"	165",목포,2012.4.8,,,
"	165",목포,2012.4.9,,,
"	165",목포,2012.4.10,6,2,7:41
"	165",목포,2012.4.11,3,1,2:06
"	165",목포,2012.4.12,,,
"	165",목포,2012.4.13,1,0.5,5:17
"	165",목포,2012.4.14,,,
"	165",목포,2012.4.15,,,
"	165",목포,2012.4.16,,,
"	165",목포,2012.4.17,,,
"	165",목포,2012.4.18,,,
"	165",목포,2012.4.19,6,1.5,16:27
"	165",목포,2012.4.20,2.5,1,2:13
"	165",목포,2012.4.21,44,7.5,7:11
"	165",목포,2012.4.22,0.1,0.1,
"	165",목포,2012.4.23,,,
"	165",목포,2012.4.24,,,
"	165",목포,2012.4.25,33.5,7,7:34
"	165",목포,2012.4.26,,,
"	165",목포,2012.4.27,,,
"	165",목포,2012.4.28,,,
"	165",목포,2012.4.29,0,0,
"	165",목포,2012.4.30,0.1,0.1,
"	165",목포,2012.5.1,16.5,4.5,17:47
"	165",목포,2012.5.2,0.5,0.4,1:25
"	165",목포,2012.5.3,,,
"	165",목포,2012.5.4,,,
"	165",목포,2012.5.5,0.1,0.1,
"	165",목포,2012.5.6,,,
"	165",목포,2012.5.7,,,
"	165",목포,2012.5.8,,,
"	165",목포,2012.5.9,,,
"	165",목포,2012.5.10,,,
"	165",목포,2012.5.11,,,
"	165",목포,2012.5.12,,,
"	165",목포,2012.5.13,0,0,
"	165",목포,2012.5.14,9.5,1.5,14:30
"	165",목포,2012.5.15,0.2,0.2,
"	165",목포,2012.5.16,0.1,0.1,
"	165",목포,2012.5.17,0,0,
"	165",목포,2012.5.18,,,
"	165",목포,2012.5.19,,,
"	165",목포,2012.5.20,,,
"	165",목포,2012.5.21,,,
"	165",목포,2012.5.22,,,
"	165",목포,2012.5.23,,,
"	165",목포,2012.5.24,0,0,
"	165",목포,2012.5.25,0,0,
"	165",목포,2012.5.26,,,
"	165",목포,2012.5.27,,,
"	165",목포,2012.5.28,,,
"	165",목포,2012.5.29,,,
"	165",목포,2012.5.30,0,0,
"	165",목포,2012.5.31,,,
"	165",목포,2012.6.1,,,
"	165",목포,2012.6.2,,,
"	165",목포,2012.6.3,,,
"	165",목포,2012.6.4,0,0,
"	165",목포,2012.6.5,,,
"	165",목포,2012.6.6,,,
"	165",목포,2012.6.7,0,0,
"	165",목포,2012.6.8,1,0.6,13:50
"	165",목포,2012.6.9,,,
"	165",목포,2012.6.10,,,
"	165",목포,2012.6.11,,,
"	165",목포,2012.6.12,,,
"	165",목포,2012.6.13,,,
"	165",목포,2012.6.14,,,
"	165",목포,2012.6.15,0.2,0.2,
"	165",목포,2012.6.16,,,
"	165",목포,2012.6.17,,,
"	165",목포,2012.6.18,8.4,2.5,14:01
"	165",목포,2012.6.19,11.9,8.7,4:25
"	165",목포,2012.6.20,,,
"	165",목포,2012.6.21,,,
"	165",목포,2012.6.22,,,
"	165",목포,2012.6.23,,,
"	165",목포,2012.6.24,5.5,2,8:21
"	165",목포,2012.6.25,,,
"	165",목포,2012.6.26,,,
"	165",목포,2012.6.27,,,
"	165",목포,2012.6.28,,,
"	165",목포,2012.6.29,11.7,4,18:53
"	165",목포,2012.6.30,13,7.2,17:42
"	165",목포,2012.7.1,2,1.9,13:03
"	165",목포,2012.7.2,1.6,1.6,20:50
"	165",목포,2012.7.3,,,
"	165",목포,2012.7.4,0,0,
"	165",목포,2012.7.5,21.9,11.2,6:53
"	165",목포,2012.7.6,42,34.5,11:59
"	165",목포,2012.7.7,,,
"	165",목포,2012.7.8,,,
"	165",목포,2012.7.9,,,
"	165",목포,2012.7.10,29.6,13.2,14:00
"	165",목포,2012.7.11,34.2,9.9,0:51
"	165",목포,2012.7.12,,,
"	165",목포,2012.7.13,5.6,4.5,3:46
"	165",목포,2012.7.14,59.6,17.4,17:53
"	165",목포,2012.7.15,6.2,3,2:37
"	165",목포,2012.7.16,0,0,
"	165",목포,2012.7.17,72.9,24.2,12:04
"	165",목포,2012.7.18,37.8,13.7,23:08
"	165",목포,2012.7.19,6,4.1,0:01
"	165",목포,2012.7.20,,,
"	165",목포,2012.7.21,,,
